Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 上午 10:19:17
Collection Length (seconds):, 43.8885
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1259.2593 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz, , 148.1481 Hz
0, -0.0166171, 0, -0.0040894, 0, -1.0091553, 0, -0.0771484, 0, 0.0381679, 0, 3.0076337, 0, -4.2366414
0.0007941, -0.0166171, 0.00675, -0.0016479, 0.00675, -1.0062256, 0.00675, -0.0790405, 0.00675, 0.1526718, 0.00675, 2.7709923, 0.00675, -4.2137403
0.0015882, -0.0172885, 0.0135, 0.0010376, 0.0135, -1.008667, 0.0135, -0.0783081, 0.0135, -0.1145038, 0.0135, 2.6564887, 0.0135, -4.1221375
0.0023824, -0.0187991, 0.02025, 0.0016479, 0.02025, -1.0093384, 0.02025, -0.0776978, 0.02025, -0.1603053, 0.02025, 2.778626, 0.02025, -3.8931298
0.0031765, -0.0176242, 0.027, 0.0075073, 0.027, -1.0094604, 0.027, -0.0787964, 0.027, -0.259542, 0.027, 2.9312978, 0.027, -3.9694657
0.0039706, -0.0196384, 0.03375, 0.0088501, 0.03375, -1.0123901, 0.03375, -0.0767212, 0.03375, -0.0839695, 0.03375, 2.9312978, 0.03375, -3.908397
0.0047647, -0.0186313, 0.0405, 0.0073242, 0.0405, -1.0112915, 0.0405, -0.0795898, 0.0405, -0.1374046, 0.0405, 3.0458016, 0.0405, -3.8549619
0.0055588, -0.0176242, 0.04725, 0.0036621, 0.04725, -1.0089722, 0.04725, -0.0812378, 0.04725, -0.1068702, 0.04725, 3.0152671, 0.04725, -3.8854961
0.0063529, -0.01561, 0.054, -0.00177, 0.054, -1.0088501, 0.054, -0.085083, 0.054, -0.2824427, 0.054, 2.7175572, 0.054, -3.8625953
0.0071471, -0.0179599, 0.06075, -0.0099487, 0.06075, -1.010376, 0.06075, -0.085144, 0.06075, -0.0839695, 0.06075, 2.2061069, 0.06075, -3.7480917
0.0079412, -0.0162814, 0.0675, -0.0141602, 0.0675, -1.0076904, 0.0675, -0.0853271, 0.0675, -0.1984733, 0.0675, 1.6335878, 0.0675, -3.6564887
0.0087353, -0.0114137, 0.07425, -0.0089111, 0.07425, -1.0061646, 0.07425, -0.0858765, 0.07425, -0.2061069, 0.07425, 0.7938932, 0.07425, -3.7022901
0.0095294, -0.0115816, 0.081, -0.0047607, 0.081, -1.0098267, 0.081, -0.0890503, 0.081, -0.1068702, 0.081, 0.5648855, 0.081, -3.7709923
0.0103235, -0.0146029, 0.08775, 0.0032349, 0.08775, -1.0098877, 0.08775, -0.0847778, 0.08775, -0.0381679, 0.08775, 0.4656489, 0.08775, -3.6717558
0.0111176, -0.0146029, 0.0945, 0.0064087, 0.0945, -1.0092773, 0.0945, -0.0866089, 0.0945, 0.0152672, 0.0945, 0.8015267, 0.0945, -3.5725191
0.0119118, -0.0109102, 0.10125, 0.0090942, 0.10125, -1.0058594, 0.10125, -0.0853271, 0.10125, 0.2290076, 0.10125, 1.0992366, 0.10125, -3.6335878
0.0127059, -0.012253, 0.108, 0.0066528, 0.108, -1.0081787, 0.108, -0.0838013, 0.108, 0.2977099, 0.108, 1.259542, 0.108, -3.5648854
0.0135, -0.0109102, 0.11475, -0.0006104, 0.11475, -1.0077515, 0.11475, -0.0830688, 0.11475, 0.4045801, 0.11475, 1.3358779, 0.11475, -3.5801528
0.0142941, -0.0119173, 0.1215, 0.0004883, 0.1215, -1.0075073, 0.1215, -0.085022, 0.1215, 0.4503817, 0.1215, 1.2824427, 0.1215, -3.4427481
0.0150882, -0.014435, 0.12825, 0.0010986, 0.12825, -1.0073242, 0.12825, -0.0847168, 0.12825, 0.519084, 0.12825, 1.0763359, 0.12825, -3.4961832
0.0158824, -0.0166171, 0.135, 0.0009155, 0.135, -1.0081177, 0.135, -0.0849609, 0.135, 0.5038168, 0.135, 1.1526718, 0.135, -3.4351146
0.0166765, -0.018967, 0.14175, 0.0015259, 0.14175, -1.0072021, 0.14175, -0.083374, 0.14175, 0.6259542, 0.14175, 1.1221374, 0.14175, -3.7175572
0.0174706, -0.0152743, 0.1485, -0.0013428, 0.1485, -1.0084229, 0.1485, -0.0831299, 0.1485, 0.5801527, 0.1485, 1, 0.1485, -3.4122138
0.0182647, -0.0135958, 0.15525, 0.0026245, 0.15525, -1.0127563, 0.15525, -0.0856323, 0.15525, 0.7175573, 0.15525, 0.7633588, 0.15525, -3.4045801
0.0190588, -0.0139315, 0.162, 0.0078735, 0.162, -1.013916, 0.162, -0.0856934, 0.162, 0.7862595, 0.162, 0.7099237, 0.162, -3.389313
0.0198529, -0.0149386, 0.16875, 0.0040283, 0.16875, -1.0106201, 0.16875, -0.0842285, 0.16875, 0.7862595, 0.16875, 0.8320611, 0.16875, -3.389313
0.0206471, -0.0157778, 0.1755, 0.0028076, 0.1755, -1.0115967, 0.1755, -0.086731, 0.1755, 0.8320611, 0.1755, 1.1603054, 0.1755, -3.3206108
