Application:, Trigno Discover (1.7.0)
Date/Time:, 2026/9/9 下午 12:07:46
Collection Length (seconds):, 41.9985
Avanti Sensor 11 (69574)
sensor mode: 50
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
0.1246765, -0.0139315, 1.05975, -0.0785522, 1.05975, -0.9554443, 1.05975, -0.397583, 1.05975, -0.4656489, 1.05975, 0.9770992, 1.05975, -3.4961832
0.1254706, -0.0164492, 1.0665, -0.0797119, 1.0665, -0.9541016, 1.0665, -0.394043, 1.0665, 0.0839695, 1.0665, 1.0458015, 1.0665, -3.6946564
0.1262647, -0.0171206, 1.07325, -0.0923462, 1.07325, -0.9551392, 1.07325, -0.3899536, 1.07325, 0.0763359, 1.07325, 1.1984733, 1.07325, -3.5343511
0.1270588, -0.014435, 1.08, -0.0914307, 1.08, -0.9535522, 1.08, -0.3916626, 1.08, 0.1374046, 1.08, 1.1068702, 1.08, -3.4656489
0.1278529, -0.0146029, 1.08675, -0.088501, 1.08675, -0.956665, 1.08675, -0.3933105, 1.08675, 0.2366412, 1.08675, 1.1145039, 1.08675, -3.5419848
0.1286471, -0.0181277, 1.0935, -0.09375, 1.0935, -0.9597168, 1.0935, -0.3903809, 1.0935, 0.4732825, 1.0935, 0.740458, 1.0935, -3.8320611
0.1294412, -0.0203098, 1.10025, -0.0977783, 1.10025, -0.9572144, 1.10025, -0.3920288, 1.10025, 0.5038168, 1.10025, 0.2137405, 1.10025, -3.9160306
0.1302353, -0.018967, 1.107, -0.0921631, 1.107, -0.9579468, 1.107, -0.3909912, 1.107, 0.0076336, 1.107, -1.1603054, 1.107, -4.2137403
0.1310294, -0.0132601, 1.11375, -0.0878906, 1.11375, -0.9581299, 1.11375, -0.3858643, 1.11375, -0.1374046, 1.11375, -1.6335878, 1.11375, -4.3053436
0.1318235, -0.0166171, 1.1205, -0.0831909, 1.1205, -0.9602661, 1.1205, -0.3903198, 1.1205, -0.0839695, 1.1205, -1.5801526, 1.1205, -4.3969464
0.1326176, -0.0198062, 1.12725, -0.0859375, 1.12725, -0.960144, 1.12725, -0.3839111, 1.12725, -0.3282443, 1.12725, -1.480916, 1.12725, -4.4351144
0.1334118, -0.0234989, 1.134, -0.0870972, 1.134, -0.9538574, 1.134, -0.3815308, 1.134, -0.2519084, 1.134, -1.3587786, 1.134, -4.3053436
0.1342059, -0.0236667, 1.14075, -0.0896606, 1.14075, -0.9545898, 1.14075, -0.3884888, 1.14075, -0.4427481, 1.14075, -1.3129771, 1.14075, -4.2900763
0.135, -0.0224918, 1.1475, -0.0899658, 1.1475, -0.9573364, 1.1475, -0.3909302, 1.1475, -0.6335878, 1.1475, -1.3282443, 1.1475, -4.221374
0.1357941, -0.0219883, 1.15425, -0.0883179, 1.15425, -0.9621582, 1.15425, -0.3869629, 1.15425, -0.1603053, 1.15425, -1.2748091, 1.15425, -4.2900763
