status,subject,muscle,side,device,file,correlation_iemg,correlation_rms,n_pairs,mean_aemg,mean_rms
可比對,Frank,脛前肌,左,ze1,09-09_09-41-19_786_ExgCh2Data_(Frank 左脛前肌)_a09_褲XL_1.txt,0.9785,0.5203,3,,
可比對,Frank,脛前肌,左,ze2,09-03_11-44-33_364_Ch2(Frank 左脛前肌).txt,0.9962,0.4741,3,,
