row,status,site,purpose,device_note,contraction_method,feature_method,expected_count,ref,exp,ref_count,exp_count,rms_pearson_r,rms_icc,iemg_pearson_r,iemg_icc,ttri_rms_r,ttri_iemg_r,note,json
31,done,右脛前肌,疲勞,a09,ze1_schmitt,ttri,10,2609-09 frank 右脛前肌_a09_褲XL_疲勞2.csv,09-09_15-01-03_995_ExgCh1Data_(Frank 右脛前肌)_a09_褲XL_疲勞2.txt,10,10,0.8488,0.3082,-0.7219,-0.4582,-0.3006,0.9973,,疲勞/右脛前肌/r31_a09_09-09_15-01-03_995_ExgCh1Data__Frank_右脛前肌__a09_褲.json
32,done,右脛前肌,疲勞,a09,ze1_schmitt,ttri,10,2609-09 frank 右脛前肌_a09_褲XL_疲勞3.csv,09-09_15-05-27_867_ExgCh1Data_(Frank 右脛前肌)_a09_褲XL_疲勞3.txt,10,10,0.381,0.2759,-0.256,-0.1208,-0.073,0.9981,,疲勞/右脛前肌/r32_a09_09-09_15-05-27_867_ExgCh1Data__Frank_右脛前肌__a09_褲.json
33,done,左脛前肌,疲勞,a09,ze1_schmitt,ttri,10,2609-09 frank 左脛前肌_a09_褲XL_疲勞1.csv,09-09_12-42-56_134_ExgCh2Data_(Frank 左脛前肌)_a09_褲XL_疲勞1.txt,10,10,0.9457,0.8447,0.8562,0.757,0.7313,0.9985,,疲勞/左脛前肌/r33_a09_09-09_12-42-56_134_ExgCh2Data__Frank_左脛前肌__a09_褲.json
34,done,左脛前肌,疲勞,a09,ze1_schmitt,ttri,10,2609-09 frank 左脛前肌_a09_褲XL_疲勞2.csv,09-09_12-47-55_198_ExgCh2Data_(Frank 左脛前肌)_a09_褲XL_疲勞2.txt,10,10,0.8149,0.7833,0.6955,0.6878,0.649,0.9974,,疲勞/左脛前肌/r34_a09_09-09_12-47-55_198_ExgCh2Data__Frank_左脛前肌__a09_褲.json
35,done,左脛前肌,疲勞,a09,ze1_schmitt,ttri,10,2609-09 frank 左脛前肌_a09_褲XL_疲勞3.csv,09-09_12-51-53_172_ExgCh2Data_(Frank 左脛前肌)_a09_褲XL_疲勞3.txt,10,10,0.9049,0.7679,0.7283,0.6903,0.6993,0.9983,,疲勞/左脛前肌/r35_a09_09-09_12-51-53_172_ExgCh2Data__Frank_左脛前肌__a09_褲.json
36,done,右腓腸肌,疲勞,a09,ze1_schmitt,ttri,10,2609-09 frank 右腓腸肌_a09_褲XL_疲勞1.csv,09-09_15-20-08_195_ExgCh2Data_(Frank 右腓腸肌)_a09_褲XL_疲勞1.txt,10,10,0.5929,0.0209,0.1875,0.0179,-0.3697,0.9989,,疲勞/右腓腸肌/r36_a09_09-09_15-20-08_195_ExgCh2Data__Frank_右腓腸肌__a09_褲.json
37,done,右腓腸肌,疲勞,a09,ze1_schmitt,ttri,10,2609-09 frank 右腓腸肌_a09_褲XL_疲勞2.csv,09-09_15-23-04_934_ExgCh2Data_(Frank 右腓腸肌)_a09_褲XL_疲勞2.txt,10,10,0.8102,0.0216,0.4873,0.0802,-0.3552,0.999,Delsys thr lowered (quiet warm-up + k=3) → 0→10,疲勞/右腓腸肌/r37_a09_09-09_15-23-04_934_ExgCh2Data__Frank_右腓腸肌__a09_褲.json
38,done,右腓腸肌,疲勞,a09,ze1_schmitt,ttri,10,2609-09 frank 右腓腸肌_a09_褲XL_疲勞3.csv,09-09_15-25-56_272_ExgCh2Data(Frank 右腓腸肌)_a09_褲XL_疲勞3.txt,10,10,0.6024,0.0042,0.7273,0.023,0.3049,0.9995,,疲勞/右腓腸肌/r38_a09_09-09_15-25-56_272_ExgCh2Data_Frank_右腓腸肌__a09_褲X.json
39,done,左腓腸肌,疲勞,a09,ze1_schmitt,ttri,10,2609-09 frank 左腓腸肌_a09_褲XL_疲勞1.csv,09-09_14-34-47_174_ExgCh1Data_(Frank 左腓腸肌)_a09_褲XL_疲勞1.txt,10,10,0.7612,0.2252,0.7976,0.4027,-0.1084,0.9991,,疲勞/左腓腸肌/r39_a09_09-09_14-34-47_174_ExgCh1Data__Frank_左腓腸肌__a09_褲.json
40,done,左腓腸肌,疲勞,a09,ze1_schmitt,ttri,10,2609-09 frank 左腓腸肌_a09_褲XL_疲勞2.csv,09-09_14-38-43_403_ExgCh1Data_(Frank 左腓腸肌)_a09_褲XL_疲勞2.txt,10,10,0.7245,0.3198,0.6036,0.6176,0.1626,0.9998,,疲勞/左腓腸肌/r40_a09_09-09_14-38-43_403_ExgCh1Data__Frank_左腓腸肌__a09_褲.json
41,done,左腓腸肌,疲勞,a09,ze1_schmitt,ttri,10,2609-09 frank 左腓腸肌_a09_褲XL_疲勞3.csv,09-09_14-42-34_881_ExgCh1Data_(Frank 左腓腸肌)_a09_褲XL_疲勞3.txt,10,10,0.5415,0.0727,0.3837,0.324,-0.107,0.9995,,疲勞/左腓腸肌/r41_a09_09-09_14-42-34_881_ExgCh1Data__Frank_左腓腸肌__a09_褲.json
